,height,weight,bmi,url
0,196,100,26.03,https://height-weight-chart.com/videos/v/605-220.mp4
1,193,73,19.6,https://height-weight-chart.com/videos/v/604-160.mp4
2,193,77,20.67,https://height-weight-chart.com/videos/v/604-170.mp4
3,191,77,21.11,https://height-weight-chart.com/videos/v/603-170.mp4
4,191,82,22.48,https://height-weight-chart.com/videos/v/603-180.mp4
5,188,86,24.33,https://height-weight-chart.com/videos/v/602-190.mp4
6,188,91,25.75,https://height-weight-chart.com/videos/v/602-200.mp4
7,185,82,23.96,https://height-weight-chart.com/videos/v/601-180.mp4
8,185,86,25.13,https://height-weight-chart.com/videos/v/601-190.mp4
9,185,91,26.59,https://height-weight-chart.com/videos/v/601-200.mp4
10,183,64,19.11,https://height-weight-chart.com/videos/v/600-140.mp4
11,183,68,20.31,https://height-weight-chart.com/videos/v/600-150.mp4
12,183,100,29.86,https://height-weight-chart.com/videos/v/600-220.mp4
13,183,104,31.05,https://height-weight-chart.com/videos/v/600-230.mp4
14,180,64,19.75,https://height-weight-chart.com/videos/v/511-140.mp4
15,180,73,22.53,https://height-weight-chart.com/videos/v/511-160.mp4
16,180,77,23.77,https://height-weight-chart.com/videos/v/511-170.mp4
17,180,82,25.31,https://height-weight-chart.com/videos/v/511-180.mp4
18,180,95,29.32,https://height-weight-chart.com/videos/v/511-210.mp4
19,178,50,15.78,https://height-weight-chart.com/videos/v/510-110.mp4
20,178,54,17.04,https://height-weight-chart.com/videos/v/510-120.mp4
21,178,68,21.46,https://height-weight-chart.com/videos/v/510-150.mp4
22,178,73,23.04,https://height-weight-chart.com/videos/v/510-160.mp4
23,178,77,24.3,https://height-weight-chart.com/videos/v/510-170.mp4
24,178,82,25.88,https://height-weight-chart.com/videos/v/510-180.mp4
25,178,127,40.08,https://height-weight-chart.com/videos/v/510-280.mp4
26,175,50,16.33,https://height-weight-chart.com/videos/v/509-110.mp4
27,175,59,19.27,https://height-weight-chart.com/videos/v/509-130.mp4
28,175,73,23.84,https://height-weight-chart.com/videos/v/509-160.mp4
29,175,100,32.65,https://height-weight-chart.com/videos/v/509-220.mp4
30,173,54,18.04,https://height-weight-chart.com/videos/v/508-120.mp4
31,173,59,19.71,https://height-weight-chart.com/videos/v/508-130.mp4
32,173,82,27.4,https://height-weight-chart.com/videos/v/508-180.mp4
33,173,104,34.75,https://height-weight-chart.com/videos/v/508-230.mp4
34,170,41,14.19,https://height-weight-chart.com/videos/v/507-90.mp4
35,170,59,20.42,https://height-weight-chart.com/videos/v/507-130.mp4
